CATEGORY,DESCRIPTION,AMOUNT,TYPE,DATE
rent,Retail Space Rent,952,income,1685058496379
rent,Property Lease,570,income,1688593234831
clothing,Uniforms,116,expense,1694444660647
miscellaneous,ATM Withdrawal,942,income,1668281595706
entertainment,Concert Tickets,948,income,1673969647202
clothing,Lingerie,690,income,1670196239642
freelance,Copywriting,926,income,1681013442073
salary,Monthly Salary,194,expense,1681722550028
personal,Haircut,816,income,1681160110550
food,Groceries,772,income,1695975322552
food,Coffee Shop,898,income,1687820351335
miscellaneous,Shipping Costs,208,expense,1691133094460
savings,IRA Contribution,360,expense,1678276707005
housing,Furniture Purchase,248,expense,1686193449816
education,Tuition,510,income,1695680425719
gift,Anniversary Gift,440,expense,1675693464144
savings,Investment Account Deposit,432,expense,1668585552508
freelance,Freelance Gig,984,income,1690649505698
housing,Property Tax,638,income,1668203181328
investment,Selling Investments,144,expense,1666707511248
healthcare,Prescription Medication,212,expense,1682069521540
savings,Savings Account Interest,544,income,1688592950557
transportation,Taxi Fare,858,income,1679206937413
rent,Retail Space Rent,412,expense,1671264614843
transportation,Uber Ride,2,expense,1685861045094
entertainment,Concerts,986,income,1682236816479
entertainment,Hobbies,248,expense,1672741849212
housing,Rent,370,expense,1674742728947
investment,Rental Property Income,842,income,1679153771940
food,Supermarket,738,income,1667379157345
education,Books,458,expense,1665897492498
entertainment,Amusement Park,698,income,1691812211399
salary,Commissions,304,expense,1670681630735
personal,Haircut,734,income,1668360712706
rent,Parking Space Rent,814,income,1671258745527
utilities,Electricity,428,expense,1684930803129
freelance,Consulting Invoice,276,expense,1692963981662
transportation,Train Ticket,84,expense,1672296517719
investment,Stock Dividends,444,expense,1688253080191
investment,Capital Gains,426,expense,1666184218156
savings,Retirement Fund Contribution,940,income,1674955831929
rent,Retail Space Rent,814,income,1688011644141
utilities,Electricity,126,expense,1677803488166
rent,Room Rental,0,expense,1686956338938
housing,Home Insurance,456,expense,1681951573942
education,Online Courses,476,expense,1678296269239
clothing,Dry Cleaning,190,expense,1696428647575
entertainment,Theme Park Admission,346,expense,1690441735952
gift,Gift Vouchers,910,income,1669949316360
salary,Overtime Pay,10,expense,1690344743918
food,Coffee Shop,592,income,1683566800034
entertainment,Movie Tickets,532,income,1670005283808
education,Educational Seminars,486,expense,1687174894151
personal,Cosmetics,678,income,1693096780545
miscellaneous,Donations,304,expense,1675865224725
personal,Gym Membership,14,expense,1666322334797
education,Educational Software,370,expense,1694815370607
entertainment,Museum Visits,432,expense,1689385969116
clothing,Shoes,672,income,1692778876002
gift,Graduation Gift,64,expense,1683260558569
freelance,Freelance Commission,714,income,1673254448795
entertainment,Streaming Services,20,expense,1671812071722
food,Food Truck,10,expense,1680146831780
food,Supermarket,912,income,1669579517853
savings,Rainy Day Fund Deposit,76,expense,1670983090109
miscellaneous,Donations,638,income,1679725544595
entertainment,Hobbies,252,expense,1684183616491
utilities,Internet,154,expense,1685546168331
transportation,Gasoline,292,expense,1683282007838
income,Royalties,198,expense,1685434289628
income,Stock Dividends,198,expense,1691939902036
freelance,Consulting Invoice,684,income,1697209242605
freelance,Contract Work,774,income,1687086792142
freelance,Contract Work,426,expense,1682979282411
clothing,Clothing Store,630,income,1689457728923
utilities,Propane,578,income,1686691551211
personal,Laundry Detergent,306,expense,1681558089753
salary,Year-End Bonus,350,expense,1687691551006
entertainment,Concerts,602,income,1690154819367
housing,Storage Unit Rent,38,expense,1670871282446
freelance,Art Commission,384,expense,1688394055911
clothing,Laundry Service,522,income,1670942812613
housing,HOA Fees,950,income,1671785744999
transportation,Gasoline,786,income,1677936038189
food,Fast Food,738,income,1692818800875
investment,Interest on Investments,970,income,1678757538590
freelance,Online Freelancing,520,income,1671327243686
gift,Anniversary Gift,452,expense,1672174400209
transportation,Car Rental,184,expense,1687227479549
food,Food Truck,528,income,1690422895051
food,Food Delivery,222,expense,1687147894711
investment,Interest on Investments,816,income,1682649410384
income,Freelance Income,92,expense,1688632681733
personal,Personal Care Products,960,income,1692956163943
healthcare,Dental Checkup,992,income,1691275111052
entertainment,Movie Tickets,568,income,1692062340042
miscellaneous,Lost Property,92,expense,1672634040762
salary,Year-End Bonus,684,income,1696748071446
utilities,Internet,300,expense,1695814976850
entertainment,Movie Tickets,404,expense,1684040503658
miscellaneous,Bank Fees,16,expense,1674620515499
entertainment,Movie Tickets,36,expense,1679691069649
transportation,Gasoline,942,income,1685931525887
freelance,Client Payment,672,income,1686419745821
investment,Interest on Investments,808,income,1694586508112
utilities,Natural Gas,992,income,1686703578971
investment,Stock Dividends,18,expense,1677825215960
freelance,Consulting Invoice,196,expense,1671356924669
transportation,Taxi Fare,516,income,1686995001083
gift,Graduation Gift,694,income,1684767210604
healthcare,Medical Supplies,728,income,1689712367224
food,Groceries,52,expense,1683574542207
clothing,Sportswear,986,income,1675131254217
healthcare,Health Insurance,248,expense,1687304663991
healthcare,Prescription Medication,438,expense,1685430301884
entertainment,Streaming Services,306,expense,1672176559505
transportation,Parking Fee,684,income,1666780037117
personal,Gym Membership,22,expense,1685161715966
rent,Office Space Rent,806,income,1693522812191
salary,Employee Benefits,762,income,1695956203288
entertainment,Video Games,940,income,1681053660677
utilities,Garbage Collection,824,income,1688404155533
gift,Wedding Gift,626,income,1689499582358
investment,Mutual Funds Dividends,670,income,1669508240036
savings,Retirement Fund Contribution,576,income,1670516177293
entertainment,Theme Park Admission,750,income,1685935489453
income,Business Income,128,expense,1696300352759
investment,Royalty Income,410,expense,1669179533307
gift,Surprise Gift,162,expense,1684945275870
clothing,Uniforms,348,expense,1683651964614
savings,Rainy Day Fund Deposit,28,expense,1691061809322
miscellaneous,Lottery Tickets,558,income,1692338143074
income,Interest Income,608,income,1681945414296
salary,Annual Bonus,494,expense,1685644105037
education,Educational Software,678,income,1684295376393
utilities,Water,396,expense,1685901749510
utilities,Heating Oil,738,income,1686366919573
miscellaneous,ATM Withdrawal,126,expense,1670333214563
miscellaneous,Recreation,592,income,1675910030606
healthcare,Doctor Visit,212,expense,1669380684796
savings,Savings Account Interest,666,income,1677569381323
miscellaneous,Lottery Tickets,180,expense,1689305450248
housing,Home Repairs,760,income,1681617933691
investment,Royalty Income,476,expense,1676167399741
utilities,Heating Oil,356,expense,1695552186522
housing,Rent,462,expense,1694453050925
clothing,Laundry Service,614,income,1682388944934
investment,Rental Property Income,826,income,1681736163221
miscellaneous,Shipping Costs,196,expense,1671220418615
food,Coffee Shop,740,income,1688453685873
investment,Rental Property Income,544,income,1670976082729
food,Takeout,122,expense,1676358469392
transportation,Subway Pass,102,expense,1685785030908
housing,Rent,8,expense,1686374629600
rent,Commercial Space Rent,786,income,1695889976782
investment,Certificates of Deposit (CD),332,expense,1697004161289
investment,Mutual Funds Dividends,732,income,1695256156462
clothing,Uniforms,408,expense,1696466228758
food,Food Delivery,884,income,1687106191878
miscellaneous,Lottery Tickets,364,expense,1668609523582
food,Restaurant,536,income,1679705984176
personal,Personal Care Products,780,income,1697119564650
personal,Toiletries,918,income,1694131918357
personal,Gym Membership,370,expense,1670078418595
clothing,Clothing Store,916,income,1686516023845
food,Restaurant,898,income,1672378169867
transportation,Bicycle Repair,472,expense,1696227049829
investment,Peer-to-Peer Lending,262,expense,1682074520186
personal,Personal Care Products,94,expense,1675679238951
gift,Gift Money,722,income,1685997351226
utilities,Sewer Service,146,expense,1678531513959
transportation,Uber Ride,822,income,1689396212815
salary,Commissions,402,expense,1677466343207
freelance,Consulting Invoice,884,income,1668148346623
housing,Apartment Deposit,812,income,1671917705495
investment,Capital Gains,398,expense,1685950649191
utilities,Garbage Collection,230,expense,1688440674902
income,Interest Income,840,income,1696162482181
freelance,Art Commission,64,expense,1681086837138
salary,Bi-weekly Salary,726,income,1692232527791
personal,Toiletries,90,expense,1684267424734
gift,Wedding Gift,924,income,1696883825873
salary,Commissions,36,expense,1687742130721
transportation,Gasoline,296,expense,1666058120303
gift,Gift Money,16,expense,1691913446935
miscellaneous,Recreation,590,income,1683360480707
miscellaneous,Stamps/Postage,796,income,1678203775250
healthcare,Vitamins/Supplements,630,income,1682359703571
entertainment,Theme Park Admission,824,income,1685233883518
gift,Gift Cards,554,income,1683329948062
personal,Haircut,966,income,1689428259229
salary,Commissions,516,income,1674531395901
housing,Furniture Purchase,184,expense,1691482713123
freelance,Contract Work,610,income,1674614837684
transportation,Train Ticket,200,expense,1675440433839
transportation,Taxi Fare,200,expense,1681544706779
clothing,Uniforms,296,expense,1671297383082
food,Takeout,266,expense,1695312590221
miscellaneous,Lost Property,154,expense,1672741548888
personal,Pet Grooming,992,income,1690581575619
rent,Office Space Rent,840,income,1683221531523
transportation,Car Rental,756,income,1674838409611
education,Educational Software,532,income,1697287368149
investment,Mutual Funds Dividends,394,expense,1685753299129
gift,Gift Money,548,income,1687070800435
miscellaneous,Magazine Subscription,292,expense,1692446725268
freelance,Copywriting,810,income,1696454818844
salary,Employee Stock Options,482,expense,1672663357305
gift,Anniversary Gift,876,income,1670763171864
savings,Vacation Fund Savings,68,expense,1683440849898
personal,Pet Grooming,610,income,1678790851814
healthcare,Dental Checkup,806,income,1683380081254
clothing,Laundry Service,988,income,1684416559998
salary,Holiday Pay,18,expense,1694819463153
investment,Rental Property Income,484,expense,1672623256896
income,Online Sales,974,income,1693832876091
miscellaneous,Stamps/Postage,626,income,1690381455310
utilities,Heating Oil,426,expense,1691691320110
miscellaneous,Donations,456,expense,1683430021220
freelance,Art Commission,58,expense,1672631858682
healthcare,Medical Tests,54,expense,1676780429426
salary,Bi-weekly Salary,690,income,1683569843991
salary,Employee Stock Options,670,income,1680147344790
transportation,Subway Pass,574,income,1671018402886
income,Freelance Income,644,income,1696337281409
savings,Retirement Fund Contribution,716,income,1690027420135
freelance,Consulting Invoice,810,income,1687124787356
housing,Utilities Deposit,878,income,1696028464663
entertainment,Theater Shows,812,income,1693426250870
investment,Mutual Funds Dividends,70,expense,1678886729022
freelance,Client Payment,306,expense,1687698459506
savings,College Savings Deposit,742,income,1677156442408
entertainment,Hobbies,230,expense,1684036815042
personal,Massage,138,expense,1691824487111
income,Rent Income,980,income,1682016439318
miscellaneous,Lost Property,636,income,1689733888208
utilities,Natural Gas,542,income,1677323154143
investment,Rental Property Income,874,income,1681428501355
gift,Anniversary Gift,144,expense,1673391379705
education,Books,862,income,1676366409020
housing,Furniture Purchase,110,expense,1666821201741
salary,Bi-weekly Salary,844,income,1676203567013
education,Books,638,income,1685030672261
gift,Graduation Gift,882,income,1680062863053
healthcare,Health Insurance,796,income,1688127502888
entertainment,Amusement Park,0,expense,1673964332351
healthcare,Medical Supplies,46,expense,1666013775747
savings,High-Yield Savings Account Interest,190,expense,1669835485326
rent,House Rent,612,income,1686092927830
salary,Employee Benefits,774,income,1686864482847
utilities,Water,818,income,1671488902398
miscellaneous,Lottery Tickets,536,income,1684869826317
freelance,Project Fee,672,income,1683526594040
clothing,Uniforms,888,income,1681055047978
personal,Spa Day,320,expense,1691671164591
food,Cafeteria,162,expense,1672403267764
utilities,Phone Bill,414,expense,1694860964895
food,Bakery,86,expense,1672996247450
housing,Furniture Purchase,708,income,1666646755719
healthcare,Doctor Visit,984,income,1685562250639
income,Salary,984,income,1679686914025
clothing,Sportswear,94,expense,1689782789842
clothing,Clothing Store,270,expense,1689023241336
personal,Massage,192,expense,1692406642928
income,Online Sales,646,income,1683113354624
utilities,Garbage Collection,748,income,1683493165905
freelance,Contract Work,442,expense,1675148645869
transportation,Train Ticket,150,expense,1676462310364
freelance,Freelance Commission,800,income,1669729497996
personal,Personal Care Products,460,expense,1678188435098
gift,Gift Vouchers,584,income,1680991951871
income,Investment Income,404,expense,1697106003509
housing,Utilities Deposit,124,expense,1685812548365
income,Rent Income,184,expense,1685242498984
personal,Laundry Detergent,142,expense,1672769838135
personal,Massage,464,expense,1680077363930
salary,Bi-weekly Salary,184,expense,1691103039030
salary,Annual Bonus,522,income,1677584605602
clothing,Winter Coats,274,expense,1695990249636
miscellaneous,Magazine Subscription,526,income,1666939610634
personal,Tattoo/Piercing,4,expense,1666345664992
healthcare,Doctor Visit,926,income,1672136079199
entertainment,Movie Tickets,248,expense,1686569030374
healthcare,Health Insurance,164,expense,1695722918853
healthcare,Prescription Medication,806,income,1687331954102
gift,Birthday Gift,432,expense,1691397951378
miscellaneous,Shipping Costs,836,income,1689430396049
personal,Personal Care Products,202,expense,1667407977665
entertainment,Concerts,700,income,1695932528846
education,Educational Seminars,562,income,1683859290914
rent,Vacation Rental,322,expense,1669715212652
savings,College Savings Deposit,486,expense,1678060850884
entertainment,Museum Visits,380,expense,1670801814286
utilities,Phone Bill,430,expense,1672403512829
freelance,Contract Work,862,income,1690245238126
clothing,Sportswear,666,income,1696420815098
gift,Birthday Gift,478,expense,1683826013030
housing,Apartment Deposit,958,income,1683846147872
rent,Parking Space Rent,292,expense,1669049589177
healthcare,Vitamins/Supplements,478,expense,1683782279653
utilities,Phone Bill,102,expense,1671785251234
personal,Pet Grooming,616,income,1693734050754
education,Tutoring,22,expense,1695920436597
rent,Apartment Rent,212,expense,1678342767020
transportation,Parking Fee,722,income,1667148744551
healthcare,Health Insurance,894,income,1680127038073
income,Rent Income,150,expense,1694116282161
housing,Apartment Deposit,282,expense,1671557940681
income,Business Income,584,income,1680557676154
savings,Emergency Fund Deposit,676,income,1687617354929
income,Online Sales,758,income,1695720479350
housing,Apartment Deposit,836,income,1672332977871
entertainment,Streaming Services,372,expense,1690870794622
investment,Real Estate Income,244,expense,1696167445324
utilities,Garbage Collection,520,income,1695713789842
healthcare,Medical Tests,368,expense,1679483081566
housing,Property Tax,612,income,1686523708275
utilities,Phone Bill,372,expense,1685026292351
entertainment,Streaming Services,378,expense,1692663418520
investment,Royalty Income,398,expense,1672167556441
food,Takeout,608,income,1674044652083
personal,Toiletries,334,expense,1692398996958
income,Business Income,198,expense,1669831532172
freelance,Art Commission,382,expense,1687703040543
miscellaneous,Donations,586,income,1692482876819
entertainment,Concert Tickets,584,income,1669235219829
rent,Parking Space Rent,110,expense,1671991589536
rent,House Rent,894,income,1693221927577
housing,HOA Fees,618,income,1679039231358
food,Fast Food,308,expense,1679008996130
freelance,Project Fee,208,expense,1693677178880
miscellaneous,Lottery Tickets,430,expense,1690959249478
miscellaneous,Donations,554,income,1684616545013
housing,Home Repairs,892,income,1686404334527
miscellaneous,Lost Property,652,income,1696453128436
salary,Sales Bonuses,872,income,1692574776261
personal,Laundry Detergent,832,income,1688471583617
rent,Office Space Rent,726,income,1676219593524
entertainment,Concert Tickets,62,expense,1675557915552
food,Coffee Shop,100,expense,1683489115345
income,Consulting Fees,220,expense,1682976958121
transportation,Gasoline,332,expense,1695118446400
rent,Room Rental,840,income,1678574717204
healthcare,Doctor Visit,448,expense,1693122926673
utilities,Sewer Service,334,expense,1677744107103
freelance,Contract Work,218,expense,1693374745907
housing,Apartment Deposit,308,expense,1692849272995
freelance,Freelance Gig,294,expense,1688352298516
food,Bakery,150,expense,1683462571729
gift,Surprise Gift,312,expense,1696377726044
rent,House Rent,710,income,1681059355659
education,Educational Software,280,expense,1685376972701
freelance,Freelance Gig,392,expense,1668361456375
salary,Commissions,478,expense,1688059001741
utilities,Sewer Service,796,income,1684173021711
miscellaneous,Recreation,958,income,1678813044868
savings,401(k) Contribution,274,expense,1682940565213
freelance,Copywriting,128,expense,1683185323611
food,Restaurant,494,expense,1671933357852
investment,Certificates of Deposit (CD),46,expense,1671941797639
food,Groceries,758,income,1668485524933
healthcare,Medical Tests,854,income,1685947270254
personal,Gym Membership,78,expense,1670614965616
freelance,Copywriting,634,income,1691519815534
education,Online Courses,582,income,1696747275323
salary,Overtime Pay,430,expense,1687692196255
income,Online Sales,764,income,1676099823587
savings,Investment Account Deposit,490,expense,1674317687225
entertainment,Theme Park Admission,876,income,1680123367857
freelance,Freelance Gig,886,income,1675072528842
freelance,Online Freelancing,466,expense,1676390047366
rent,Commercial Space Rent,34,expense,1685070412283
clothing,Laundry Service,146,expense,1678607458289
housing,Utilities Deposit,292,expense,1670150397017
miscellaneous,Bank Fees,204,expense,1692897940138
investment,Peer-to-Peer Lending,820,income,1691686928371
healthcare,Doctor Visit,84,expense,1688608229951
entertainment,Concerts,940,income,1676256091313
savings,Investment Account Deposit,856,income,1674507093392
education,Online Courses,42,expense,1678016774743
rent,Storage Unit Rent,402,expense,1671235454763
healthcare,Health Insurance,560,income,1677059203069
investment,Capital Gains,134,expense,1673044146078
salary,Commissions,436,expense,1681516059472
freelance,Copywriting,422,expense,1680146276736
personal,Laundry Detergent,626,income,1678998218395
clothing,Lingerie,336,expense,1693604795524
food,Bakery,304,expense,1688239072888
clothing,Accessories,634,income,1683431949167
entertainment,Hobbies,24,expense,1688031658882
income,Online Sales,244,expense,1695749094269
freelance,Client Payment,828,income,1679840899107
personal,Gym Membership,74,expense,1671287025869
miscellaneous,Magazine Subscription,358,expense,1684776715604
clothing,Laundry Service,488,expense,1695658118475
clothing,Uniforms,28,expense,1689569841648
healthcare,Medical Tests,508,income,1684444567512
clothing,Lingerie,134,expense,1679699029726
healthcare,Vitamins/Supplements,204,expense,1665978309328
housing,Storage Unit Rent,106,expense,1693846428024
savings,Savings Account Interest,522,income,1691050255082
transportation,Subway Pass,298,expense,1692047999189
utilities,Water,808,income,1680519881054
personal,Personal Care Products,544,income,1685188901350
income,Freelance Income,618,income,1672681177248
miscellaneous,Bank Fees,378,expense,1687545281876
healthcare,Dental Checkup,410,expense,1680267251152
clothing,Laundry Service,246,expense,1669729981789
income,Business Income,374,expense,1672202123757
healthcare,Medical Tests,808,income,1679609597262
education,Exam Fees,10,expense,1677972358656
utilities,Natural Gas,386,expense,1692141169237
clothing,Lingerie,356,expense,1675886506121
transportation,Gasoline,700,income,1673450221576
rent,Vacation Rental,662,income,1679357980661
utilities,Water,730,income,1678545109889
healthcare,Therapist Session,342,expense,1669871484930
food,Food Truck,732,income,1669517364332
food,Coffee Shop,960,income,1682556262370
clothing,Uniforms,708,income,1680352746190
income,Consulting Fees,30,expense,1672460070266
freelance,Client Payment,194,expense,1666637022351
income,Rent Income,360,expense,1676419704258
entertainment,Streaming Services,422,expense,1679163384091
income,Salary,284,expense,1680855634917
utilities,Internet,182,expense,1680513235814
education,Educational Seminars,368,expense,1676664068399
miscellaneous,Lottery Tickets,726,income,1690572163340
rent,Property Lease,848,income,1676456274247
food,Food Truck,84,expense,1691432756967
investment,Real Estate Income,466,expense,1669543594223
salary,Year-End Bonus,652,income,1690771091712
salary,Annual Bonus,840,income,1688110504928
salary,Holiday Pay,70,expense,1696126518511
rent,Storage Unit Rent,320,expense,1668478628042
transportation,Car Rental,292,expense,1680546333057
healthcare,Health Insurance,136,expense,1692210180125
housing,Property Tax,696,income,1677469538574
miscellaneous,Shipping Costs,398,expense,1685316442756
education,Educational Seminars,878,income,1684463088873
investment,Real Estate Income,530,income,1688940070199
housing,Rent,2,expense,1689643655200
food,Supermarket,666,income,1692212010313
food,Bakery,982,income,1683194016599
gift,Gift Money,536,income,1694404849153
utilities,Cable TV,486,expense,1693803017021
income,Business Income,764,income,1687053375859
miscellaneous,ATM Withdrawal,210,expense,1675055822969
savings,High-Yield Savings Account Interest,858,income,1681056293912
savings,Emergency Fund Deposit,328,expense,1679893956997
healthcare,Therapist Session,26,expense,1665960737813
freelance,Project Fee,20,expense,1688714932548
savings,Vacation Fund Savings,314,expense,1673597893860
personal,Spa Day,688,income,1685052517748
salary,Commissions,86,expense,1687756089211
miscellaneous,Recreation,448,expense,1685587484249
income,Stock Dividends,880,income,1670962088025
salary,Commissions,876,income,1692070317418
personal,Haircut,826,income,1694219318823
savings,Emergency Fund Deposit,366,expense,1688189650668
healthcare,Medical Tests,988,income,1681014411672
freelance,Freelance Gig,626,income,1696715508756
entertainment,Movie Tickets,624,income,1693322914236
clothing,Uniforms,902,income,1688034072891
gift,Christmas Gift,808,income,1693875254320
housing,Home Insurance,300,expense,1684062952982
salary,Annual Bonus,950,income,1695950390274
clothing,Sportswear,896,income,1677804470688
income,Interest Income,262,expense,1681675918357
clothing,Lingerie,372,expense,1668018069898
education,Student Loan Payment,402,expense,1687057904565
education,Online Courses,780,income,1694212571815
healthcare,Medical Tests,360,expense,1692405505362
education,Educational Seminars,124,expense,1684264028923
food,Food Delivery,388,expense,1681297817676
salary,Commissions,930,income,1691097223703
utilities,Water,470,expense,1688815306706
education,Books,948,income,1682210080475
rent,Apartment Rent,896,income,1695924328932
clothing,Shoes,890,income,1686059993849
miscellaneous,Donations,10,expense,1687672236789
savings,Retirement Fund Contribution,64,expense,1672477233667
utilities,Cable TV,312,expense,1683599049845
food,Food Truck,494,expense,1696679460433
housing,Furniture Purchase,706,income,1680411884590
utilities,Cable TV,326,expense,1680128118111
investment,Real Estate Income,48,expense,1683372229340
entertainment,Concert Tickets,648,income,1681224548552
salary,Overtime Pay,186,expense,1678552513555
freelance,Online Freelancing,90,expense,1670421546269
investment,Stock Dividends,470,expense,1680955580109
housing,Utilities Deposit,718,income,1671019801457
transportation,Toll Road,426,expense,1678986207104
housing,HOA Fees,224,expense,1693875021113
education,Student Loan Payment,550,income,1690049922655
income,Online Sales,468,expense,1671554915882
housing,HOA Fees,744,income,1684548205389
transportation,Uber Ride,760,income,1680733147915
transportation,Toll Road,302,expense,1677019909649
rent,Retail Space Rent,320,expense,1670952436504
rent,Room Rental,692,income,1674136285792
housing,Utilities Deposit,852,income,1688425969484
personal,Massage,606,income,1687964877970
gift,Birthday Gift,606,income,1695096000740
clothing,Uniforms,80,expense,1694572870175
gift,Graduation Gift,954,income,1690682541844
gift,Graduation Gift,968,income,1667793257727
gift,Wedding Gift,328,expense,1691988628485
entertainment,Hobbies,504,income,1681920637297
gift,Gift Cards,812,income,1680352148227
education,Educational Software,446,expense,1693287911456
savings,Savings Account Interest,718,income,1678495346386
personal,Pet Grooming,350,expense,1680068419364
clothing,Shoes,912,income,1691335190231
utilities,Electricity,444,expense,1692069434602
income,Freelance Income,566,income,1686495835747
freelance,Consulting Invoice,350,expense,1684434266256
income,Business Income,950,income,1680179415207
clothing,Clothing Store,542,income,1677466572845
clothing,Tailoring,508,income,1667322977537
freelance,Freelance Gig,358,expense,1672690553314
salary,Holiday Pay,782,income,1679424238431
entertainment,Concert Tickets,350,expense,1669056501223
housing,Storage Unit Rent,280,expense,1674003496307
transportation,Toll Road,852,income,1670707437212
transportation,Taxi Fare,198,expense,1689878637526
clothing,Uniforms,258,expense,1696734779814
entertainment,Concerts,756,income,1676344965692
transportation,Parking Fee,710,income,1687404072289
entertainment,Theme Park Admission,254,expense,1690044253797
income,Rent Income,766,income,1677013731300
education,Books,328,expense,1679821493416
clothing,Winter Coats,814,income,1671127473741
miscellaneous,Shipping Costs,986,income,1667129860181
miscellaneous,Bank Fees,330,expense,1669078545348
entertainment,Concert Tickets,104,expense,1685411128159
investment,Mutual Funds Dividends,204,expense,1693588738475
healthcare,Eye Exam,398,expense,1685952176507
food,Coffee Shop,32,expense,1674488608699
clothing,Dry Cleaning,516,income,1673051423842
transportation,Car Rental,122,expense,1673045666477
housing,HOA Fees,754,income,1686892857841
miscellaneous,Recreation,1000,income,1674854965241
savings,Rainy Day Fund Deposit,594,income,1677617932292
transportation,Gasoline,954,income,1682208279260
transportation,Car Rental,948,income,1666935135433
salary,Holiday Pay,372,expense,1693450510880
entertainment,Amusement Park,882,income,1676929961569
savings,Retirement Fund Contribution,996,income,1679351681475
gift,Graduation Gift,208,expense,1683266741780
rent,Parking Space Rent,560,income,1679565746808
transportation,Train Ticket,120,expense,1675639310379
savings,High-Yield Savings Account Interest,730,income,1670942482338
entertainment,Theme Park Admission,768,income,1688666754007
housing,Home Repairs,996,income,1682984533948
healthcare,Medical Supplies,730,income,1670909992589
education,Books,258,expense,1686741287913
savings,Emergency Fund Deposit,550,income,1680916720642
utilities,Sewer Service,304,expense,1678419199160
savings,IRA Contribution,412,expense,1682749576829
rent,Retail Space Rent,644,income,1683883581095
healthcare,Vitamins/Supplements,878,income,1683033140558
transportation,Taxi Fare,126,expense,1675968011513
miscellaneous,Lost Property,144,expense,1681417874325
income,Stock Dividends,378,expense,1671989625390
entertainment,Video Games,916,income,1676020048312
salary,Monthly Salary,268,expense,1668411883857
savings,Savings Account Interest,240,expense,1697073952183
investment,Stock Dividends,178,expense,1679579207547
education,Tutoring,414,expense,1697104772891
transportation,Subway Pass,374,expense,1677615766608
freelance,Art Commission,856,income,1672143477564
personal,Pet Grooming,176,expense,1695083438017
miscellaneous,Shipping Costs,416,expense,1686448798759
personal,Laundry Detergent,670,income,1694419596358
clothing,Dry Cleaning,302,expense,1675663008361
income,Freelance Income,820,income,1687268987804
investment,Royalty Income,948,income,1676013484303
gift,Baby Shower Gift,394,expense,1688665567555
salary,Commissions,590,income,1688273242672
rent,Apartment Rent,378,expense,1688910682265
income,Freelance Income,852,income,1672367137088
education,Books,128,expense,1670674333838
miscellaneous,Magazine Subscription,688,income,1682115965346
transportation,Car Rental,288,expense,1688925387631
salary,Employee Benefits,736,income,1695320268139
housing,Apartment Deposit,976,income,1672385773698
education,School Supplies,578,income,1672989144990
personal,Personal Care Products,418,expense,1693682858605
salary,Employee Stock Options,192,expense,1676541142958
freelance,Copywriting,876,income,1694165078261
freelance,Contract Work,464,expense,1667017157549
housing,Mortgage,848,income,1689110402816
education,School Supplies,778,income,1672236686499
rent,Storage Unit Rent,868,income,1678387303936
healthcare,Emergency Room,844,income,1684972032919
entertainment,Museum Visits,236,expense,1691238958443
clothing,Shoes,438,expense,1692420519314
education,Student Loan Payment,478,expense,1696113974070
freelance,Web Design Project,34,expense,1694218743556
housing,Storage Unit Rent,420,expense,1679429676527
entertainment,Amusement Park,526,income,1678871899846
food,Bakery,86,expense,1689756235587
personal,Gym Membership,90,expense,1696321291294
education,Educational Software,628,income,1681161469671
housing,Apartment Deposit,796,income,1678061939307
clothing,Winter Coats,634,income,1683465521899
income,Stock Dividends,214,expense,1690809525224
investment,Stock Dividends,650,income,1685789437053
personal,Haircut,732,income,1694267382871
housing,Utilities Deposit,42,expense,1680373361609
transportation,Bicycle Repair,774,income,1688458508289
utilities,Sewer Service,136,expense,1679632385540
investment,Peer-to-Peer Lending,926,income,1688498453066
investment,Stock Dividends,412,expense,1675895462663
salary,Sales Bonuses,90,expense,1669197748484
education,Books,84,expense,1684163589945
savings,Investment Account Deposit,852,income,1688279961102
education,Books,430,expense,1666598825797
investment,Certificates of Deposit (CD),226,expense,1681142919144
housing,HOA Fees,198,expense,1688714698585
miscellaneous,Shipping Costs,210,expense,1683451806821
utilities,Heating Oil,222,expense,1677520983138
food,Takeout,506,income,1678753789868
education,Online Courses,98,expense,1685299740408
rent,Office Space Rent,710,income,1690638061943
rent,Office Space Rent,14,expense,1677663505006
entertainment,Hobbies,228,expense,1697186609240
investment,Stock Dividends,166,expense,1686273537627
investment,Mutual Funds Dividends,28,expense,1689889840601
rent,Property Lease,924,income,1673433473006
utilities,Phone Bill,884,income,1673750652818
freelance,Project Fee,240,expense,1687530265288
food,Groceries,52,expense,1675127758856
freelance,Project Fee,480,expense,1691368796261
investment,Royalty Income,684,income,1674585828977
investment,Rental Property Income,970,income,1672690597457
income,Interest Income,884,income,1679863211514
income,Royalties,452,expense,1681863852542
housing,Property Tax,598,income,1674111287466
investment,Mutual Funds Dividends,860,income,1685114616758
transportation,Car Rental,184,expense,1692672085876
savings,High-Yield Savings Account Interest,934,income,1676872547926
utilities,Propane,864,income,1693029274454
salary,Year-End Bonus,274,expense,1680681052118
clothing,Winter Coats,524,income,1687413776082
housing,Apartment Deposit,304,expense,1681193466625
salary,Annual Bonus,138,expense,1675195917076
income,Investment Income,254,expense,1672329391815
transportation,Gasoline,408,expense,1673290782017
rent,Commercial Space Rent,468,expense,1667208296976
transportation,Car Rental,742,income,1675576835415
